Number of statements,No. of  iterations in outer,No. of  iterations in inner,No. of statements in outer ,No. of statements in inner,Number of loops,levels of nested loops,total  iterations ,# of Complex Variables,CC*,function calls,branches ,SWPP,Number of inputs,Number of outputs,Sizes of input data (byte),Sizes of output data (byte),No. 0f iterations* statement inner,repeating time,adjusted execution time
0.0,0.000121529887672,0.008354218880535,0.096774193548387,0.0,0.0,0.5,0.000374232726459,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.0,0.001065151784129,3.8366084895e-05,0.149149149149149,76350
0.0,0.000260421187868,0.847117794486216,0.096774193548387,0.0,0.0,0.5,0.062766930172803,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.105175292153589,0.002485354162968,0.006970838989116,0.001001001001001,98386
0.0,0.00053820378826,0.402673350041771,0.096774193548387,0.0,0.0,0.5,0.059865662025409,0.0,0.064516129032258,0.0,0.0,1.0,0.1,0.0,0.050500834724541,0.005325758920646,0.006648478141727,0.0,47297
0.049382716049383,0.017760725012587,0.001670843776107,0.161290322580645,0.020833333333333,0.25,1.0,0.01974174083805,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.003287694839161,0.0,42014
0.049382716049383,0.017760725012587,0.000835421888053,0.161290322580645,0.020833333333333,0.25,1.0,0.015791077828833,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.002629255661516,0.0,41501
0.049382716049383,0.017760725012587,0.0,0.161290322580645,0.020833333333333,0.25,1.0,0.011840414819616,0.0,0.129032258064516,0.0,0.333333333333333,1.0,0.4,0.0,0.051752921535893,0.090537901650985,0.00197081648387,0.0,40297
0.074074074074074,0.001371551589437,0.211361737677527,0.129032258064516,0.1875,0.0,0.5,0.079001685976304,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.025041736227045,0.045091425528138,0.048281038644936,0.0,159448
0.074074074074074,0.001197937464192,0.014202172096909,0.129032258064516,0.1875,0.0,0.5,0.005389722874879,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.000417362270451,0.003195455352388,0.003296268265954,0.0,20968
0.074074074074074,0.002239622215663,0.081035923141186,0.129032258064516,0.1875,0.0,0.5,0.050143327276164,0.0,0.193548387096774,0.0,1.0,1.0,0.5,0.0,0.008764607679466,0.017397479140778,0.030645499733259,0.0,114856
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.212020033388982,0.976034084857092,0.008442467698007,0.001001001001001,90436
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.261790484140234,1.0,0.008442467698007,0.001001001001001,90436
0.104938271604938,0.000121529887672,0.29156223893066,0.161290322580645,0.25,0.25,1.0,0.010848890997967,0.0,0.129032258064516,0.0,0.0,0.0,0.1,0.5,0.28182387312187,0.629682229717735,0.008442467698007,0.001001001001001,90436
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.123121869782972,0.211965205041718,0.055304389873154,0.0,233467
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.218384808013356,0.374045801526718,0.055304389873154,0.0,233478
1.0,0.000711817913505,0.104427736006683,0.290322580645161,0.958333333333333,0.25,0.5,0.020729406590354,0.0,0.516129032258064,0.727272727272727,1.0,0.0,0.0,0.0,0.210559265442404,0.360731404225102,0.055304389873154,0.0,233483
